filename,city,period,year,quarter,cloud_cover_pct,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,ndbi_mean,ndbi_std,ndbi_min,ndbi_max,bsi_mean,bsi_std,bsi_min,bsi_max,valid_pixels_pct
../data/raw/S2_2021_Q1_Mariupol_clean.npy,Mariupol,2021_Q1,2021,Q1,1.579593,-0.45302593405413266,0.5961253615304687,-0.996055030442022,0.983870174175188,0.10940301666620189,0.25477957673130625,-0.9975184866989885,0.9978699683509072,-0.11929140724688046,0.37891111842761427,-0.9819815401380981,0.9957490973026522,88.91696927260588
../data/raw/S2_2021_Q2_Mariupol_clean.npy,Mariupol,2021_Q2,2021,Q2,19.394487,0.1166551772236134,0.40868852781817794,-0.4956010078200698,0.9644568503914506,-0.20626320929496664,0.08877917822364187,-0.6308510450721706,0.8259108413210885,-0.09853105341273882,0.0893516759332822,-0.5336273287016884,0.684379972079864,55.81223233622641
../data/raw/S2_2021_Q3_Mariupol_clean.npy,Mariupol,2021_Q3,2021,Q3,0.462978,-0.012504396820199312,0.4603258471278932,-0.9999996587031942,0.9999750006243528,-0.3189609276153534,0.33272364427703754,-0.980391195429119,0.999999929922921,-0.053538266609737345,0.14522989937897593,-0.6045510352159661,0.8994410979164158,96.74911660777386
../data/raw/S2_2021_Q4_Mariupol_clean.npy,Mariupol,2021_Q4,2021,Q4,17.163327,-0.31480314748989496,0.5425749248148543,-0.9999998726114855,0.9999999121265429,0.20597884234539524,0.3756832191553102,-0.9636346134014832,0.9999998260869899,-0.22586970022693112,0.21323515668720563,-0.9941173545530243,0.9999996031747611,20.044291739264956
../data/raw/S2_2022_Q1_Mariupol_clean.npy,Mariupol,2022_Q1,2022,Q1,4.904334,-0.02472591884299606,0.14290276647083977,-0.2462180466881224,0.5866079647041119,-0.01673476031539245,0.12880729106663208,-0.4881573656063952,0.7401454862194194,0.02715842506250071,0.07665280224346799,-0.249170119443237,0.6200260305109289,99.58126394294182
../data/raw/S2_2022_Q2_Mariupol_clean.npy,Mariupol,2022_Q2,2022,Q2,18.155251,0.14160103227019036,0.24096574244193858,-0.4044571050426028,0.7448339902740493,-0.06823743483909814,0.11099609187058544,-0.5063041937784782,0.6301103829683483,-0.05212646553362722,0.07884114732986863,-0.40026485305381315,0.525729869561836,87.61166566250346
../data/raw/S2_2022_Q3_Mariupol_clean.npy,Mariupol,2022_Q3,2022,Q3,4.928577,0.06349331351823896,0.164458518249312,-0.6536677409231776,0.6757836615361584,0.0023926289693306786,0.09255205924797826,-0.565217386044565,0.6734164778885184,0.003631989594926279,0.0756003856104973,-0.5559808520903791,0.5486574535505613,91.18390842031556
../data/raw/S2_2022_Q4_Mariupol_clean.npy,Mariupol,2022_Q4,2022,Q4,0.005084,0.06149915315372707,0.14284780470140426,-0.32529539411102504,0.640000002058937,0.019208928074310874,0.0733327557023276,-0.3449573318445951,0.3314888576072817,0.008448967029395139,0.07009736381768183,-0.2663958030214434,0.2551600742565659,99.33855498200649
../data/raw/S2_2023_Q3_Mariupol_clean.npy,Mariupol,2023_Q3,2023,Q3,0.071685,0.057962034485923554,0.14292571653566652,-0.20896388358284587,0.6309931474337144,0.009397789787489024,0.08244140081767377,-0.40049596320400904,0.48411687928292496,0.010318178636712128,0.0735443081566247,-0.27292636030467415,0.3311530839576445,99.96678119555128
../data/raw/S2_2023_Q4_Mariupol_clean.npy,Mariupol,2023_Q4,2023,Q4,0.239107,0.03406568689733431,0.13836459813228352,-0.2877225817605852,0.6419673568539945,0.00955879346579324,0.07383050324956875,-0.39935376941365497,0.6062396956166608,-0.001839861870559845,0.06631116973637748,-0.2635611886362204,0.5376221368355079,99.79050984351338
