model,train_acc,val_acc,test_acc,test_precision,test_recall,test_f1,test_auc
Logistic Regression,0.7595419847328244,0.7727272727272727,0.7615894039735099,0.4816599578301705,0.5472045909051386,0.5094420021958482,0.8921318827479296
Random Forest,1.0,0.7840909090909091,0.8079470198675497,0.6255952380952381,0.6349979228859326,0.6274220032840723,0.9165525272667507
MLP,0.767175572519084,0.7613636363636364,0.7748344370860927,0.48788405797101453,0.5540503724313828,0.515708830104322,0.9181287101014783
ResNet-50,0.1984732824427481,0.045454545454545456,0.046357615894039736,0.009271523178807948,0.2,0.017721518987341773,0.4806746067057614
