city,n_scenes,n_damaged,accuracy,precision,recall,f1,auc_roc
Mariupol,200,139,0.96,0.4959016393442623,0.48331171128670836,0.4894440747686165,
Bakhmut,84,54,0.7380952380952381,0.6,0.43499999999999994,0.497150710032066,0.9688786008230452
Kharkiv,217,207,0.9170506912442397,0.5408216783216784,0.531708211143695,0.5346348826611984,0.9514661667049932
